"c_code","c_name","credit","department"
"BUS201","Business & Human Communication","03","BBA"
"CSE110","Programming Language I","03","CSE"
"CSE260","Digital Logic Design","03","CSE"
"CSE370","Database System","03","CSE"
"CSE421","Computer Network","03","CSE"
